time,Normalized_Flux,error
2335.630347,0.999209778,0.000684083
2335.630579,0.998664605,0.000683312
2335.63081,0.999226247,0.000682902
2335.631041,0.999256039,0.000683422
2335.631273,0.999720962,0.000683728
2335.631504,0.999732711,0.000683683
2335.631736,0.998077892,0.000682818
2335.631967,1.00017529,0.000683782
2335.632199,0.998768877,0.000683254
2335.63243,1.000303165,0.00068388
2335.632662,0.998468964,0.000683104
2335.632893,0.998864128,0.000683414
2335.633125,0.99915953,0.000683512
2335.633356,0.999079805,0.00068374
2335.633588,1.00001626,0.000683264
2335.633819,0.998906298,0.000683115
2335.634051,0.999323806,0.000683339
2335.634282,0.999020431,0.00068347
2335.634514,1.000032415,0.00068372
2335.634745,0.999429966,0.000684493
2335.634977,0.999235898,0.000683455
2335.635208,0.999699562,0.000683475
2335.63544,0.997204273,0.000682498
2335.635671,0.99872807,0.000683171
2335.635903,1.000391597,0.000684176
2335.636134,0.999577457,0.000683694
2335.636366,0.998895388,0.000683402
2335.636597,0.999055258,0.000683496
2335.636829,0.999200337,0.00068348
2335.63706,0.999635258,0.000683432
2335.637292,0.999221422,0.000683574
2335.637523,0.999099212,0.000683493
2335.637755,0.998686215,0.000683106
2335.637986,1.001188952,0.000684018
2335.638218,0.998882905,0.000683355
2335.638449,0.998799194,0.000683244
2335.638681,0.999548714,0.000683647
2335.638912,1.000125042,0.000683725
2335.639144,0.999369543,0.000683346
2335.639375,1.000281975,0.000684072
2335.639606,0.998743806,0.000683175
2335.639838,0.999689387,0.000683422
2335.640069,0.999257718,0.000683779
2335.640301,0.998364482,0.000683728
2335.640532,0.999418007,0.000683527
2335.640764,0.999264536,0.000683194
2335.640995,0.999338702,0.000683568
2335.641227,0.998084605,0.000683679
2335.641458,0.999024207,0.000683381
2335.64169,0.999766175,0.000683223
2335.641921,0.998832552,0.000682943
2335.642153,0.99877601,0.000683194
2335.642384,0.999104352,0.000683681
2335.642616,0.998158771,0.000683275
2335.642847,0.998862974,0.000683697
2335.643079,0.998128244,0.000683097
2335.64331,0.999888595,0.000683477
2335.643542,0.99918628,0.000683175
2335.643773,0.998641737,0.000683384
2335.644005,0.999627076,0.000683983
2335.644236,0.998330704,0.000683139
2335.644468,0.998324515,0.000683402
2335.644699,0.999756943,0.000683554
2335.644931,0.998898955,0.000683093
2335.645162,0.997980963,0.000683174
2335.645394,0.999252263,0.000683478
2335.645625,0.998898745,0.000683286
2335.645857,0.999456611,0.000683935
2335.646088,1.003113159,0.000713914
2335.64632,0.999026935,0.000683528
2335.646551,0.998265036,0.000683126
2335.646783,0.997948758,0.000683236
2335.647014,0.999338282,0.000683858
2335.647246,0.998443053,0.000683076
2335.647477,0.999094386,0.000683216
2335.647709,0.999996433,0.000684187
2335.64794,0.998923921,0.000684344
2335.648171,0.99945703,0.000683424
2335.648403,1.000248511,0.00068345
2335.648634,0.99995741,0.000683694
2335.648866,0.998314339,0.000683035
2335.649097,0.99923894,0.000683377
2335.649329,1.00039338,0.000683852
2335.64956,0.997991453,0.000683199
2335.649792,0.997423202,0.000682607
2335.650023,0.997596184,0.000683346
2335.650255,0.999168342,0.000683713
2335.650486,0.99964879,0.000684358
2335.650718,0.999830689,0.000684242
2335.650949,0.999927303,0.000683817
2335.651181,0.999237472,0.000683847
2335.651412,0.998309409,0.000682597
2335.651644,0.99843099,0.00068312
2335.651875,0.998699747,0.000683318
2335.652107,0.998654954,0.000683374
2335.652338,0.99920705,0.000683308
2335.65257,0.999790302,0.000683473
2335.652801,1.001327632,0.000684268
2335.653033,0.998565578,0.000683421
2335.653264,0.999255934,0.000683635
2335.653496,0.999475598,0.000683102
2335.653727,0.999564135,0.000683596
2335.653959,0.998756079,0.000682906
2335.65419,0.997359107,0.000683021
2335.654422,0.999213974,0.000683419
2335.654653,0.999914296,0.000683367
2335.654885,0.999820094,0.000683571
2335.655116,0.998350425,0.000683246
2335.655348,0.998851225,0.000683147
2335.655579,0.998372245,0.000683081
2335.655811,0.999113059,0.000683847
2335.656042,0.999305972,0.000683388
2335.656274,0.999176629,0.00068357
2335.656505,0.998752827,0.000683433
2335.656736,1.000546746,0.000683631
2335.656968,0.998772444,0.0006832
2335.657199,0.999967166,0.000683682
2335.657431,0.997797071,0.000683118
2335.657662,0.998785976,0.000682841
2335.657894,1.000480448,0.000683566
2335.658125,0.999357164,0.000683394
2335.658357,1.000864283,0.000684608
2335.658588,0.998824999,0.000683699
2335.65882,0.998600615,0.000683384
2335.659051,0.999934122,0.000683562
2335.659283,0.998297555,0.000683178
2335.659514,0.998302695,0.000683183
2335.659746,1.000362959,0.000683802
2335.659977,0.999216072,0.000683901
2335.660209,0.998945007,0.000683172
2335.66044,0.999178517,0.000683227
2335.660672,0.998331228,0.000682872
2335.660903,0.998866645,0.000683112
2335.661135,0.999329995,0.000683444
2335.661366,0.99914925,0.000683492
2335.661598,1.001078701,0.000683824
2335.661829,0.998676354,0.000682828
2335.662061,0.998257798,0.000683468
2335.662292,0.998346859,0.00068326
2335.662524,0.998578061,0.000683681
2335.662755,0.999378459,0.00068329
2335.662987,0.999134459,0.000683517
2335.663218,0.999291391,0.000683197
2335.66345,1.000294983,0.000683539
2335.663681,1.000219454,0.000684017
2335.663913,0.998034567,0.000682907
2335.664144,0.998609847,0.000682994
2335.664376,0.999462171,0.000683623
2335.664607,0.999496054,0.000683271
2335.664839,0.99850526,0.000682972
2335.66507,0.999104562,0.000683495
2335.665301,0.998413366,0.000683241
2335.665533,0.999544203,0.000683617
2335.665764,0.999766385,0.000683985
2335.665996,0.999540322,0.000683557
2335.666227,1.00069644,0.000683797
2335.666459,0.999172328,0.000683434
2335.66669,1.009673902,0.000689799
2335.666922,0.998995464,0.000682887
2335.667153,0.998318955,0.000683308
2335.667385,0.998894969,0.000683167
2335.667616,1.000700427,0.000683743
2335.667848,0.998771605,0.000683416
2335.668079,0.99846288,0.000683127
2335.668311,0.998998401,0.000683488
2335.668542,0.999181454,0.000683495
2335.668774,0.999924576,0.000683652
2335.669005,0.999515565,0.000683551
2335.669237,0.998419555,0.000683253
2335.669468,1.000378904,0.000684091
2335.6697,0.999667043,0.000683333
2335.669931,0.99871779,0.000682955
2335.670163,0.999360731,0.000683356
2335.670394,0.998688837,0.000683131
2335.670626,0.999256039,0.00068334
2335.670857,0.999437099,0.000683606
2335.671089,0.998839371,0.000683532
2335.67132,0.999483675,0.000683246
2335.671552,0.999174216,0.000683351
2335.671783,0.998126041,0.000683109
2335.672015,0.999025046,0.000683185
2335.672246,0.999924471,0.000685034
2335.672478,0.999355591,0.000683507
2335.672709,0.999841284,0.00068331
2335.672941,1.000704623,0.000684079
2335.673172,1.003491958,0.000686534
2335.673404,0.999477381,0.000683091
2335.673635,0.998168631,0.000683065
2335.673866,0.998497917,0.000683073
2335.674098,0.998758177,0.000683363
2335.674329,0.999387271,0.000683465
2335.674561,0.998442214,0.000683163
2335.674792,0.998815453,0.000683719
2335.675024,0.998176604,0.000682856
2335.675255,0.998970707,0.000683294
2335.675487,0.9999893,0.000683406
2335.675718,0.999114737,0.000683892
2335.67595,1.000607694,0.000683633
2335.676181,0.998198528,0.000682982
2335.676413,0.999152397,0.000683318
2335.676644,0.998548165,0.00068312
2335.676876,0.999766594,0.00068347
2335.677107,0.99877108,0.000683102
2335.677339,0.99854806,0.000683391
2335.67757,0.999652147,0.000683715
2335.677802,0.999308385,0.000683293
2335.678033,0.999921744,0.000683869
2335.678265,0.999736697,0.000683616
2335.678496,0.998828042,0.000683319
2335.678728,0.999071832,0.00068334
2335.678959,0.999319714,0.000683246
2335.679191,1.001498831,0.00068531
2335.679422,0.999561932,0.000683603
2335.679654,0.999230863,0.000683201
2335.679885,0.998031735,0.000682589
2335.680117,0.997230498,0.000682651
2335.680348,0.999798065,0.000683512
2335.68058,0.998848812,0.000683672
2335.680811,0.999271355,0.00068318
2335.681043,0.998995464,0.000683281
2335.681274,1.000164905,0.000683694
2335.681506,0.999134459,0.000683385
2335.681737,0.999006059,0.000683623
2335.681969,0.99930293,0.000683375
2335.6822,0.998725763,0.000683082
2335.682431,0.999891742,0.000683415
2335.682663,0.997886237,0.00068355
2335.682894,0.9984783,0.000683292
2335.683126,0.999500879,0.00068315
2335.683357,0.998675934,0.000683194
2335.683589,0.999834675,0.000683647
2335.68382,0.999711521,0.000683545
2335.684052,0.999269152,0.000683367
2335.684283,0.998382945,0.000683537
2335.684515,0.999342898,0.000682998
2335.684746,0.998089536,0.000683207
2335.684978,0.998605441,0.000683779
2335.685209,0.997661958,0.000682816
2335.685441,0.998593902,0.000682556
2335.685672,0.999317092,0.000683699
2335.685904,1.000031785,0.000683735
2335.686135,0.999972935,0.000683888
2335.686367,0.999528993,0.000683409
2335.686598,0.9992338,0.000682726
2335.68683,0.99884042,0.000683146
2335.687061,0.998631037,0.000683186
2335.687293,1.000236028,0.000683719
2335.687524,0.999437624,0.000683331
2335.687756,0.999236318,0.000683831
2335.687987,0.999305867,0.000683191
2335.688219,0.9984312,0.000683107
2335.68845,0.999054524,0.000683125
2335.688682,0.999587003,0.000683613
2335.688913,0.999399544,0.000683662
2335.689145,1.000100181,0.000683821
2335.689376,0.998209018,0.000683442
2335.689608,0.999854292,0.000683143
2335.689839,1.00002161,0.000683278
2335.690071,0.998707929,0.000682991
2335.690302,0.998893815,0.000683545
2335.690534,0.998516379,0.000683164
2335.690765,0.999937269,0.000683505
2335.690996,0.998809054,0.000683371
2335.691228,0.998495084,0.000683024
2335.691459,0.999600535,0.000683597
2335.691691,0.998609427,0.000682996
2335.691922,1.000537515,0.000683579
2335.692154,0.999389684,0.00068357
2335.692385,0.998411373,0.000682954
2335.692617,0.998690516,0.000683111
2335.692848,0.99917558,0.000683142
2335.69308,1.000453069,0.000683371
2335.693311,0.998962315,0.000683334
2335.693543,0.999568436,0.000683922
2335.693774,0.999011409,0.000683476
2335.694006,1.000631087,0.000683888
2335.694237,0.999891637,0.000683262
2335.694469,0.998585719,0.000683331
2335.6947,0.999757888,0.000683738
2335.694932,0.999223205,0.000683309
2335.695163,0.999603473,0.000683555
